Coordinates,State,County or Parish,Company,Facility,Project,Type,Status,Sector,Potential CO2e (tons/year),Estimated population - 3 miles,Percent people of color - 3 miles,Percent low income - 3 miles
"-112.564406, 39.498704",UT,Millard,NGL Energy Partners LLC,Sawtooth NGL Storage Facility,Sawtooth Gasoline and Diesel Storage Expansion Project,Natural Gas Liquids Storage Facility,Operating,Petrochemicals and Plastics,0,,,
"-112.564406, 39.498704",UT,Millard,NGL Energy Partners LLC,Sawtooth NGL Storage Facility,Sawtooth Truck and Rail Loading Expansion Project,Natural Gas Liquids Storage Facility,Operating,Petrochemicals and Plastics,2470.23,,,
"-79.336596, 36.831313",VA,Pittsylvania,"Transcontinental Gas Pipe Line Company, LLC",SE Trail Compressor Station 165,SE Trail Compressor Station 165,Compressor Station,Operating,Natural Gas,207902,,34,22
"-78.423557, 37.838686",VA,Fluvanna,"Transcontinental Gas Pipe Line Company, LLC",SE Trail Compressor Station 175,SE Trail Compressor Station 175,Compressor Station,Operating,Natural Gas,108558,2074,14,24
"-79.341583, 36.82642",VA,Pittsylvania,Mountain Valley Pipeline LLC,Lambert Compressor Station,Lambert Compressor - Initial Construction,Compressor Station,On hold,Natural Gas,126442,,34,27
"-64.754109, 17.710307",VI,St. Croix,"Limetree Bay Terminals, LLC and Limetree Bay Refining, LLC",Limetree Bay Refinery,"Limetree Bay Refinery - Bitumen Storage, Heated Tank Storage and Marine Loading Projects",Refinery,Canceled,Oil,46728,,,
"-122.734717, 48.883773",WA,Whatcom,BP West Coast Products LLC,BP Cherry Point Refinery,BP Cherry Point - North Vacuum Heater Project,Refinery,Operating,Oil,73924,,11,29
"-122.983073, 46.1372",WA,Cowlitz,"Solvay Chemicals, Inc.",Hydrogen Peroxide Plant,Hydrogen Peroxide Plant Expansion.10326-01,Other Chemicals,Operating,Petrochemicals and Plastics,89000,39110,20,47
"-122.869193, 46.044753",WA,Cowlitz,"Northwest Innovation Works Kalama, LLC","Kalama Methanol Manufacturing and Marine Export Facility ",Kalama Methanol Manufacturing and Marine Export Facility,Methanol Plant,Canceled,Petrochemicals and Plastics,1076000,3712,8,30
"-122.857319, 46.021132",WA,Cowlitz,"Emerald Kalama Chemical, LLC",Emerald Kalama Chemical Plant,Plasticizer Plant Expansion.10138-01,Plastic Resin Manufacturing,Operating,Petrochemicals and Plastics,208475,4645,8,29
"-122.399978, 47.276552",WA,Pierce,Puget Sound Energy,Tacoma LNG Facility,Tacoma LNG Facility - Initial Construction,Liquefied Natural Gas Terminal or Liquefaction Plant,Under construction,Liquefied Natural Gas,32040.84477,67436,45,25
"-122.734717, 48.883773",WA,Whatcom,BP West Coast Products LLC,BP Cherry Point Refinery,BP Cherry Point - Coker Heaters Replacement Project,Refinery,Operating,Oil,1097792,,11,29
"-122.734717, 48.883773",WA,Whatcom,BP West Coast Products LLC,BP Cherry Point Refinery,BP Cherry Point - Renewable Diesel Optimization Project,Renewable Diesel or Gasoline Refinery,Announced,Other,,,11,29
"-122.734717, 48.883773",WA,Whatcom,BP West Coast Products LLC,BP Cherry Point Refinery,BP Cherry Point - Cooling Water Infrastructure Project,Refinery,Announced,Oil,,,11,29
"-122.734717, 48.883773",WA,Whatcom,BP West Coast Products LLC,BP Cherry Point Refinery,BP Cherry Point - Hydrocracker Improvement Project,Refinery,Announced,Oil,,,11,29
"-92.0684, 46.68989",WI,Douglas,"Superior Refining Company, LLC",Superior Refinery,Superior Refinery Rebuild Project and Asphalt Import Project,Refinery,Under construction,Oil,424573,22831,10,35
"-92.0684, 46.68989",WI,Douglas,"Superior Refining Company, LLC",Superior Refinery,Superior Refinery Flexibility Project,Refinery,Under construction,Oil,414330,22831,10,35
"-90.073292, 43.200151",WI,Sauk,Northern Natural Gas Company,Spring Green Compressor Station,Spring Green Compressor Station,Compressor Station,Operating,Natural Gas,128,2764,6,20
"-80.68181, 39.67678",WV,Wetzel,Appalachia Midstream Services LLC,Blake Ridge Compression Facility,Blake Ridge Compression Facility,Compressor Station,Operating,Natural Gas,112944,442,3,47
"-80.533971, 39.532725",WV,Wetzel,Mountain Valley Pipeline LLC,Bradshaw Compressor Station,Bradshaw Compressor - Initial Construction,Compressor Station,Under construction,Natural Gas,401968,281,9,54
"-80.52167, 40.19667",WV,Brooke,Appalachia Midstream Services LLC,Buffalo Compression Facility,Buffalo Compression Facility,Compressor Station,Operating,Natural Gas,113589,1507,11,18
"-80.68345, 39.40425",WV,Doddridge,Antero Midstream LLC,Canton North Compressor Station,Canton North Compressor Station,Compressor Station,Operating,Natural Gas,108975,392,1,48
"-80.779517, 39.755442",WV,Marshall,"XCL Midstream Operating, LLC",Channing Compressor,Channing Compressor,Compressor Station,Operating,Natural Gas,133283,391,0,43
"-80.362503, 38.749952",WV,Upshur,"Columbia Gulf Transmission, LLC",Cleveland Compressor Station,Cleveland Compressor Station.10098-01,Compressor Station,Operating,Natural Gas,140169,327,1,29
"-80.17733, 39.23405",WV,Harrison,"Goff Connector, LLC",Connector Compressor Station,Connector Compressor Station.10175-01,Compressor Station,Operating,Natural Gas,152721,1437,3,35
"-80.20288, 39.57751",WV,Marion,"DTE Appalachia Gathering, LLC",Daybrook Compressor Station,Daybrook Compressor Station.10122-01,Compressor Station,Operating,Natural Gas,113510,2789,7,37
"-80.864166, 39.343869",WV,Tyler,Antero Midstream LLC,East Mountain Station,East Mountain Station.10035-01,Compressor Station,Operating,Natural Gas,166431,476,4,33
"-81.323344, 38.486996",WV,Kanawha,"Columbia Gulf Transmission, LLC",Elk River Compressor Station,Elk River Compressor Station.10094-01,Compressor Station,Operating,Natural Gas,227640,2673,3,47
"-79.836045, 38.820887",WV,Randolph,"Columbia Gulf Transmission, LLC",Files Creek Compressor Station,Files Creek Compressor Station.10097-01,Compressor Station,Operating,Natural Gas,105821,2884,3,56
"-80.20528, 39.64194",WV,Monongalia,"M3 Appalachia Gathering, LLC",Hamilton Compressor Station,Hamilton Compressor Station.10217-01,Compressor Station,Operating,Natural Gas,89452,1482,5,35
"-80.502814, 38.722499",WV,Braxton,Mountain Valley Pipeline LLC,Harris Compressor Station,Harris Compressor - Initial Construction,Compressor Station,Under construction,Natural Gas,188194,237,2,68
"-80.791159, 39.254174",WV,Doddridge,EQT Gathering,Janus Compressor Station,Janus Compressor Station.10150-01,Compressor Station,Operating,Natural Gas,147621,802,4,32
"-80.906265, 39.224173",WV,Ritchie,Antero Midstream LLC,Lafferty Compressor Station,Lafferty Compressor Station.10031-01,Compressor Station,Operating,Natural Gas,111004,395,1,28
"-80.581316, 39.882501",WV,Marshall,"Columbia Gulf Transmission, LLC",Lone Oak Compressor Station,Lone Oak Compressor Station.10095-01,Compressor Station,Operating,Natural Gas,263848,1008,1,25
"-78.86162, 38.87517",WV,Hardy,"Columbia Gulf Transmission, LLC",Lost River Compressor Station,Lost River Compressor Station.10092-01,Compressor Station,Operating,Natural Gas,133989,,1,46
"-80.52056, 39.96361",WV,Marshall,"MarkWest Liberty Midstream & Resources, LLC",Majorsville Gas Plant,Majorsville Gas Plant VII,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,76029,416,2,23
"-80.833, 39.7282",WV,Marshall,Primus Green Energy Inc,Marcellus Methanol Plant,Marcellus Methanol Plant,Methanol Plant,Canceled,Petrochemicals and Plastics,130854,795,3,45
"-80.149167, 39.656111",WV,Monongalia,"DTE Appalachia Gathering, LLC",Mepco Compressor Station,Mepco Compressor Station.10123-01,Compressor Station,Operating,Natural Gas,145987,1568,3,30
"-80.963581, 39.41656",WV,Tyler,Antero Midstream LLC,Middlebourne III Compressor,Middlebourne III Compressor.10034-01,Compressor Station,Operating,Natural Gas,158287,347,0,25
"-80.90999, 39.47547",WV,Tyler,Antero Midstream LLC,Middlebourne IV Compressor Station,Middlebourne IV Compressor Station.10033-01,Compressor Station,Operating,Natural Gas,235941,1349,1,39
"-80.84175, 39.51774",WV,Tyler,Antero Midstream LLC,Middlebourne V Compressor Station,Middlebourne V Compressor Station - Initial Construction,Compressor Station,Operating,Natural Gas,166287,515,4,42
"-80.62161, 39.721593",WV,Marshall,Appalachia Midstream Services LLC,Miller Compressor Station,Miller Compressor Station.10040-01,Compressor Station,Operating,Natural Gas,3923,196,2,42
"-80.502128, 39.543405",WV,Wetzel,Dominion Energy Transmission Inc.,Mockingbird Hill Compressor Station,Mockingbird Hill Compressor Expansion Project,Compressor Station,Operating,Natural Gas,194675,320,6,45
"-80.86384, 39.42065",WV,Tyler,Antero Midstream LLC,Monroe Compressor Station,Monroe Compressor Station.10037-01,Compressor Station,Operating,Natural Gas,127248,463,0,28
"-80.52488, 40.24278",WV,Brooke,Appalachia Midstream Services LLC,Mountaineer Compressor Station,Mountaineer Compressor Station.10041-01,Compressor Station,Operating,Natural Gas,118014,1700,1,22
"-80.951858, 39.352356",WV,Tyler,Antero Midstream LLC,Mountain Station,Mountain Station.10038-01,Compressor Station,Operating,Natural Gas,126007,416,1,39
"-81.674254, 38.737833",WV,Jackson,"Columbia Gulf Transmission, LLC",Mount Olive Compressor Station,Mount Olive Compressor Station.10093-01,Compressor Station,Operating,Natural Gas,263840,2786,1,16
"-80.8487, 39.7462",WV,Marshall,"Blue Racer Midstream, LLC",Natrium Chemical Plant,Natrium Chemical Plant - Boiler Restart,Other Chemicals,Operating,Petrochemicals and Plastics,882381.19,718,3,35
"-80.86101, 39.75996",WV,Marshall,"Blue Racer Midstream, LLC",Natrium Extraction and Fractionation Facility,Natrium Fractionation Train 2,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,194245,677,3,32
"-80.86101, 39.75996",WV,Marshall,"Blue Racer Midstream, LLC",Natrium Extraction and Fractionation Facility,Natrium Power Plant,Associated Electricity Generation,Pre-construction,Petrochemicals and Plastics,1475625,677,3,32
"-80.869506, 39.292576",WV,Doddridge,Antero Midstream LLC,Nichols Compressor Station,Nichols Compressor Station.10028-01,Compressor Station,Operating,Natural Gas,123053,1381,10,43
"-80.6959, 39.8758",WV,Marshall,"Williams Ohio Valley Midstream, LLC",Oak Grove Gas Plant,Oak Grove Gas Plant.10386-01,Gas Processing Plant,Operating,Natural Gas,222983,3282,5,46
"-80.69913, 39.81179",WV,Marshall,"XCL Midstream Operating, LLC",Payne Compressor Station,Payne Compressor Station.10390-01,Compressor Station,Operating,Natural Gas,150500,784,3,36
"-80.59156, 40.14333",WV,Ohio,Appalachia Midstream Services LLC,Pioneer Compressor Station,Pioneer Compressor Station.10046-01,Compressor Station,Operating,Natural Gas,113748,3723,6,26
"-81.353048, 39.33832",WV,Pleasants,West Virginia Methanol Inc.,Pleasants County Methanol Plant,Pleasants County Methanol Plant - Initial Construction,Methanol Plant,Pre-construction,Petrochemicals and Plastics,,1766,3,25
"-80.55879, 39.776224",WV,Marshall,Appalachia Midstream Services LLC,Ridgeline Compressor Station,Ridgeline Compressor Station.10042-01,Compressor Station,Pre-construction,Natural Gas,118126,255,3,40
"-80.55586, 39.98754",WV,Marshall,Appalachia Midstream Services LLC,Sand Hill Compression Facility,Sand Hill Compression Facility.10045-01,Compressor Station,Operating,Natural Gas,135501,695,4,22
"-80.8931, 39.26922",WV,Doddridge,Sandstrom Water Treatment Facility LLC,Sandstrom Water Treatment Facility,Sandstrom Water Treatment Facility.10313-01,Produced Water Treatment Facility,Operating,Natural Gas,276583,1386,8,40
"-80.82726, 39.324154",WV,Doddridge,"EQT Gathering Opco, LLC",Saturn Compressor Station,Saturn Compressor Station.10151-01,Compressor Station,Operating,Natural Gas,154601,1240,10,42
"-79.37607, 38.84861",WV,Pendleton,"Columbia Gulf Transmission, LLC",Seneca Compressor Station,Seneca Compressor Station.10096-01,Compressor Station,Operating,Natural Gas,286499,,3,48
"-80.733372, 39.269339",WV,Doddridge,"Columbia Gulf Transmission, LLC",Sherwood Compressor Station,Sherwood Compressor Station,Compressor Station,Operating,Natural Gas,224497,1334,2,29
"-80.686564, 39.27342",WV,Doddridge,"MarkWest Liberty Midstream & Resources, LLC",Sherwood Gas Plant,"Sherwood Gas Plants VII, VIII, and IX",Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,102214,1180,3,30
"-80.809279, 39.424914",WV,Tyler,"CNX Midstream Operating Company, LLC",Shirley Compressor Station,Shirley Compressor Station.10081-01,Compressor Station,Operating,Natural Gas,117774,615,0,41
"-80.732471, 39.283409",WV,Doddridge,"Sherwood Midstream, LLC",Smithburg Gas Plant,Smithburg Gas Plants 1 & 2,Gas Processing Plant,Operating,Natural Gas,140331.5,1919,2,30
"-80.803337, 39.334203",WV,Doddridge,Antero Midstream LLC,South Canton Compressor Station,South Canton Compressor Station - Initial Construction,Compressor Station,Operating,Natural Gas,158857,1118,4,35
"-80.757716, 37.868026",WV,Fayette,Mountain Valley Pipeline LLC,Stallworth Compressor Station,Stallworth Compressor - Initial Construction,Compressor Station,Under construction,Natural Gas,177198,544,5,26
"-81.716505, 38.451791",WV,Kanawha,"Tennessee Gas Pipeline Company, LLC",Station 119A,Station 119A.10348-01,Compressor Station,Operating,Natural Gas,84878,7016,6,29
"-80.842725, 39.326",WV,Doddridge,Antero Midstream LLC,Tamela Compressor Station,Tamela Compressor Station.10027-01,Compressor Station,Operating,Natural Gas,123309,1075,11,43
"-79.546343, 39.419872",WV,Preston,"Columbia Gulf Transmission, LLC",Terra Alta Compressor Station,Terra Alta Compressor Expansion Project,Compressor Station,Operating,Natural Gas,14620.7,2562,1,49
"-80.61862, 40.19277",WV,Brooke,Appalachia Midstream Services LLC,Threedubs Compressor Station,Threedubs Compressor Station.10043-01,Compressor Station,Operating,Natural Gas,125125,4176,6,32
"-80.49637, 39.18424",WV,Harrison,"E. Marcellus Asset Company, LLC",Tichenal Station,Tichenal Station.10126-01,Compressor Station,Operating,Natural Gas,82652,731,5,29
"-80.871583, 39.432517",WV,Tyler,Antero Midstream LLC,Underwood Compressor Station,Underwood Compressor Station.10036-01,Compressor Station,Operating,Natural Gas,152108,380,0,29
"-80.334733, 39.705065",WV,Monongalia,"CNX Midstream Operating Company, LLC",Wadestown 5 Compressor Station,Wadestown 5 Compressor Station.10080-01,Compressor Station,Pre-construction,Natural Gas,13354,655,0,29
"-80.978431, 39.321042",WV,Ritchie,Antero Midstream LLC,West Mountain Station,West Mountain Station.10030-01,Compressor Station,Operating,Natural Gas,105097,1617,1,41
"-80.73894, 39.51644",WV,Wetzel,Antero Midstream LLC,Lincoln Compressor Station,Lincoln Compressor Station,Compressor Station,Pre-construction,Natural Gas,173180,457,1,48
"-80.8077, 39.5496",WV,Tyler,Antero Midstream LLC,Castle Peak Compressor Station,Castle Peak Compressor Station - Initial Construction,Compressor Station,Pre-construction,Natural Gas,174127,532,3,43
"-81.142129, 39.041577",WV,Calhoun,"Columbia Gulf Transmission, LLC",White Oak Compressor Station,White Oak Compressor Station.10090-01,Compressor Station,Operating,Natural Gas,193194,413,3,45
"-81.78122, 38.38766",WV,Kanawha,US Methanol LLC,Liberty One Methanol Plant,Liberty One Methanol Plant,Methanol Plant,Commissioning,Petrochemicals and Plastics,,25751,15,36
"-81.78122, 38.38766",WV,Kanawha,US Methanol LLC,Liberty One Methanol Plant,Liberty Two Methanol Plant,Methanol Plant,Announced,Petrochemicals and Plastics,,25751,15,36
"-80.86101, 39.75996",WV,Marshall,"Blue Racer Midstream, LLC",Natrium Extraction and Fractionation Facility,Natrium Fractionation Train 3,Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,52968,677,3,32
"-80.86101, 39.75996",WV,Marshall,"Blue Racer Midstream, LLC",Natrium Extraction and Fractionation Facility,Natrium Fractionation Trains 4-7,Natural Gas Liquids Fractionator,Partially operating,Petrochemicals and Plastics,142182,677,3,32
"-81.682229, 39.258635",WV,Wood,"Appalachian Shale Cracker Enterprise, LLC",ASCENT Shale Cracker,ASCENT Shale Cracker,Ethylene Cracker,On hold,Petrochemicals and Plastics,2311914,6528,1,23
"-80.686564, 39.27342",WV,Doddridge,"MarkWest Liberty Midstream & Resources, LLC",Sherwood Gas Plant,"Sherwood Gas Plants X and XI, Deethanizer II",Natural Gas Liquids Fractionator,Operating,Petrochemicals and Plastics,168667.03,1180,3,30
"-80.686564, 39.27342",WV,Doddridge,"MarkWest Liberty Midstream & Resources, LLC",Sherwood Gas Plant,"Sherwood Gas Plants XII and XIII, Deethanizer III",Natural Gas Liquids Fractionator,Commissioning,Petrochemicals and Plastics,95754.1,1180,3,30
"-80.732471, 39.283409",WV,Doddridge,"Sherwood Midstream, LLC",Smithburg Gas Plant,Smithburg Gas Plants 3 & 4,Gas Processing Plant,Announced,Natural Gas,,1919,2,30
"-80.803337, 39.334203",WV,Doddridge,Antero Midstream LLC,South Canton Compressor Station,South Canton Compressor Station - Expansion,Compressor Station,Operating,Natural Gas,10471,1118,4,35
"-80.32287, 39.287039",WV,Harrison,"ESC Harrison County Power, LLC",Harrison County Combined Cycle Power Plant,Harrison County Combined Cycle Power Plant - Initial Construction,Gas-Fired Power Plant,Pre-construction,Natural Gas,2338896,,,
"-105.77927, 43.85124",WY,Campbell,"Thunder Creek Gas Services, LLC",50 Buttes Gas Plant,50 Buttes Gas Plant,Gas Processing Plant,Operating,Natural Gas,99954,9,17,15
"-105.47106, 42.74399",WY,Converse,"Jackalope Gas Gathering Services, Inc.",Bucking Horse Gas Plant,Bucking Horse Gas Plant Expansion (BHGP-II).10195-01,Gas Processing Plant,Operating,Natural Gas,200362,1103,5,15
"-106.24328, 42.85877",WY,Natrona,Sinclair Casper Refining Company,Casper Refinery,Crude Rate Expansion Project,Refinery,Operating,Oil,59685.9,19039,11,27
"-105.4787, 43.48387",WY,Converse,"Rowdy Pipeline, LLC",Jewell Gas Plant,Jewell Gas Plant - Initial Construction,Gas Processing Plant,Operating,Natural Gas,77533,,,
"-110.0767, 41.5022",WY,Uinta,Hilcorp Energy Company,"Lateral B8 Compressor Station ",Lateral B8 Compressor Station .10184-01,Compressor Station,Pre-construction,Natural Gas,,,,
"-109.12746, 41.53841",WY,Sweetwater,"Simplot Phosphates, LLC",Rock Springs Fertilizer Complex,Rock Springs Fertilizer Complex.10323-01,Ammonia/Urea Plants,Operating,Synthetic Fertilizers,403655,40,9,32
"-107.1102, 41.77937",WY,Carbon,Sinclair Wyoming Refining Company,Sinclair Refinery,2013 Crude Oil Optimization Project,Refinery,Operating,Oil,359975,441,14,25
"-107.1102, 41.77937",WY,Carbon,Sinclair Wyoming Refining Company,Sinclair Refinery,2017 #1 HDS and Reformer Expansion Project,Refinery,Operating,Oil,3894,441,14,25
"-107.1102, 41.77937",WY,Carbon,Sinclair Wyoming Refining Company,Sinclair Refinery,2020 Boilerhouse Turnaround Project,Refinery,Operating,Oil,80175,441,14,25
"-107.1102, 41.77937",WY,Carbon,Sinclair Wyoming Refining Company,Sinclair Refinery,Delayed Coking Unit Upgrade Project,Refinery,Operating,Oil,64765,441,14,25
"-107.1102, 41.77937",WY,Carbon,Sinclair Wyoming Refining Company,Sinclair Refinery,FCCU Feed Heater Replacement Project,Refinery,Operating,Oil,47667,441,14,25
"-105.49047, 42.79192",WY,Converse,"Thunder Creek Gas Services, LLC",Steamboat Processing Facility,Steamboat Processing Facility.10357-01,Gas Processing Plant,Operating,Natural Gas,259292,241,3,23
"-105.551, 43.5874",WY,Campbell,"Rowdy Pipeline, LLC",Tuco Compressor Station,Tuco Compressor Station.10306-01,Compressor Station,Pre-construction,Natural Gas,56776,2,17,15
"-105.1378, 42.98845",WY,Converse,"Tallgrass Midstream, LLC",Aurora Compressor Station,Well Draw – Aurora Compressor Station.10340-01,Compressor Station,Operating,Natural Gas,33821,9,18,22
"-105.36575, 43.63414",WY,Campbell,"Tallgrass Midstream, LLC",West Porcupine Compressor Station,West Porcupine Compressor Station.10339-01,Compressor Station,Pre-construction,Natural Gas,30195,,,
"-107.91529, 44.12498",WY,Washakie,"Kentex Worland, LLC",Worland Compressor Station,Worland Compressor Station.10198-01,Compressor Station,Operating,Natural Gas,,266,9,24
"-104.687008, 41.127786",WY,Laramie,Cheyenne Renewable Diesel Company LLC,Cheyenne Renewable Diesel Plant,Cheyenne Renewable Diesel Plant - Initial Construction,Renewable Diesel or Gasoline Refinery,Operating,Other,158954,2552,18,16
