,,Total Vote,B,T,P,Margin,Margin (%),,Biden,Trump,Pierce,Other,Biden,Trump,Pierce,Jorgensen,Hawkins,Blankenship,de la Fuente,West,La Riva,Write-ins,Kennedy,Myers,Carroll,Collins,Huber,Segal,Janos,Kopitke,Hunter,Kishore,Hammons,Boddie,Charles,Duncan,Hoefling,Jacob-Fambro,King,LaFontaine,McCormic,McHugh,Paige,Scalf,Scott,Simmons,Swing,Tittle,None,Gammon,,J,H,B,d,Jorgensen,Hawkins,Blankenship,de la Fuente,,,,CD,,ST,CTY,FIPS,FIPS2010,LSAD_TRANS,Blank/Under,Void/Over,,,,,,,,,,Total Vote (county report),Total Write-ins,Other,,Qualified Write-ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilcox,AL,"5,903",,,0,"2,215",37.52%,,68.58%,31.05%,0.00%,0.37%,"4,048","1,833",,17,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.29%,0.00%,0.00%,0.00%,,Wilcox,AL,7,,01,131,01131,01131,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winston,AL,"11,284",,,0,"9,221",81.72%,,8.63%,90.35%,0.00%,1.02%,974,"10,195",,102,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.90%,0.00%,0.00%,0.00%,,Winston,AL,4,,01,133,01133,01133,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,T,"2,323,282",,,0,"591,546",25.46%,,36.57%,62.03%,0.00%,1.40%,"849,624","1,441,170",,"25,176",,,,,,"7,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1.08%,0.00%,0.00%,0.00%,,Alabama,T,,,01,,01,01,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 1,AK,"7,360",,,,34,0.46%,,47.24%,47.70%,0.33%,4.73%,"3,477","3,511",24,216,,34,2,,,46,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.93%,0.00%,0.46%,0.03%,,District 1,AK,1,,02,701,02701,02701,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 2,AK,"6,161",,,,"1,570",25.48%,,34.15%,59.63%,0.23%,5.99%,"2,104","3,674",14,287,,18,9,,,25,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,0,,,4.66%,0.00%,0.29%,0.15%,,District 2,AK,1,,02,702,02702,02702,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 3,AK,"8,421",,,,"4,173",49.55%,,22.60%,72.15%,0.15%,5.09%,"1,903","6,076",13,316,,27,8,,,36,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.75%,0.00%,0.32%,0.10%,,District 3,AK,1,,02,703,02703,02703,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 4,AK,"10,587",,,,655,6.19%,,50.49%,44.30%,0.27%,4.94%,"5,345","4,690",29,323,,27,4,,,76,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.05%,0.00%,0.26%,0.04%,,District 4,AK,1,,02,704,02704,02704,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 5,AK,"8,706",,,,127,1.46%,,48.29%,46.83%,0.20%,4.69%,"4,204","4,077",17,259,,21,8,,,52,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.97%,0.00%,0.24%,0.09%,,District 5,AK,1,,02,705,02705,02705,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 6,AK,"9,518",,,,"2,498",26.25%,,34.38%,60.62%,0.33%,4.68%,"3,272","5,770",31,266,,33,5,,,58,,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.79%,0.00%,0.35%,0.05%,,District 6,AK,1,,02,706,02706,02706,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 7,AK,"9,664",,,,"4,812",49.79%,,22.92%,72.71%,0.13%,4.23%,"2,215","7,027",13,272,,36,5,,,42,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.81%,0.00%,0.37%,0.05%,,District 7,AK,1,,02,707,02707,02707,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 8,AK,"9,957",,,,"5,665",56.89%,,19.61%,76.51%,0.18%,3.70%,"1,953","7,618",18,241,,28,6,,,45,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.42%,0.00%,0.28%,0.06%,,District 8,AK,1,,02,708,02708,02708,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 9,AK,"11,047",,,,"5,018",45.42%,,25.07%,70.49%,0.14%,4.30%,"2,769","7,787",16,301,,39,4,,,54,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.72%,0.00%,0.35%,0.04%,,District 9,AK,1,,02,709,02709,02709,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 10,AK,"11,256",,,,"5,354",47.57%,,24.23%,71.79%,0.17%,3.81%,"2,727","8,081",19,286,,22,6,,,51,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.54%,0.00%,0.20%,0.05%,,District 10,AK,1,,02,710,02710,02710,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 11,AK,"10,686",,,,"3,966",37.11%,,29.29%,66.40%,0.16%,4.15%,"3,130","7,096",17,269,,22,6,,,58,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.52%,0.00%,0.21%,0.06%,,District 11,AK,1,,02,711,02711,02711,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 12,AK,"11,280",,,,"4,936",43.76%,,26.21%,69.97%,0.13%,3.68%,"2,957","7,893",15,288,,28,3,,,42,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.55%,0.00%,0.25%,0.03%,,District 12,AK,1,,02,712,02712,02712,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 13,AK,"7,765",,,,"1,986",25.58%,,34.33%,59.91%,0.32%,5.43%,"2,666","4,652",25,308,,16,6,,,52,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.97%,0.00%,0.21%,0.08%,,District 13,AK,1,,02,713,02713,02713,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 14,AK,"11,534",,,,"2,453",21.27%,,36.94%,58.21%,0.09%,4.76%,"4,261","6,714",10,356,,46,6,,,91,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.09%,0.00%,0.40%,0.05%,,District 14,AK,1,,02,714,02714,02714,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 15,AK,"5,593",,,,49,0.88%,,46.88%,47.76%,0.23%,5.13%,"2,622","2,671",13,197,,10,10,,,34,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,0,,,3.52%,0.00%,0.18%,0.18%,,District 15,AK,1,,02,715,02715,02715,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 16,AK,"8,170",,,,758,9.28%,,52.31%,43.04%,0.18%,4.47%,"4,274","3,516",15,210,,27,12,,,52,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.57%,0.00%,0.33%,0.15%,,District 16,AK,1,,02,716,02716,02716,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 17,AK,"7,271",,,,"1,326",18.24%,,56.88%,38.65%,0.25%,4.22%,"4,136","2,810",18,184,,18,9,,,32,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.53%,0.00%,0.25%,0.12%,,District 17,AK,1,,02,717,02717,02717,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 18,AK,"7,759",,,,"1,921",24.76%,,60.33%,35.57%,0.19%,3.91%,"4,681","2,760",15,157,,24,4,,,39,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.02%,0.00%,0.31%,0.05%,,District 18,AK,1,,02,718,02718,02718,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 19,AK,"5,338",,,,"1,143",21.41%,,58.41%,37.00%,0.21%,4.38%,"3,118","1,975",11,110,,22,13,,,37,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.06%,0.00%,0.41%,0.24%,,District 19,AK,1,,02,719,02719,02719,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 20,AK,"7,544",,,,"2,498",33.11%,,64.70%,31.59%,0.20%,3.51%,"4,881","2,383",15,153,,8,4,,,47,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.03%,0.00%,0.11%,0.05%,,District 20,AK,1,,02,720,02720,02720,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 21,AK,"9,482",,,,"1,724",18.18%,,57.10%,38.92%,0.20%,3.79%,"5,414","3,690",19,203,,29,4,,,53,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.14%,0.00%,0.31%,0.04%,,District 21,AK,1,,02,721,02721,02721,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 22,AK,"9,597",,,,131,1.37%,,47.44%,48.81%,0.19%,3.56%,"4,553","4,684",18,200,,16,3,,,77,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.08%,0.00%,0.17%,0.03%,,District 22,AK,1,,02,722,02722,02722,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 23,AK,"7,796",,,,155,1.99%,,48.87%,46.88%,0.21%,4.04%,"3,810","3,655",16,170,,22,13,,,57,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.18%,0.00%,0.28%,0.17%,,District 23,AK,1,,02,723,02723,02723,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 24,AK,"10,484",,,,642,6.12%,,45.17%,51.30%,0.23%,3.30%,"4,736","5,378",24,222,,15,7,,,56,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.12%,0.00%,0.14%,0.07%,,District 24,AK,1,,02,724,02724,02724,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 25,AK,"9,369",,,,193,2.06%,,49.10%,47.04%,0.15%,3.71%,"4,600","4,407",14,201,,21,15,,,44,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.15%,0.00%,0.22%,0.16%,,District 25,AK,1,,02,725,02725,02725,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 26,AK,"10,181",,,,685,6.73%,,44.77%,51.50%,0.23%,3.51%,"4,558","5,243",23,207,,23,2,,,70,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.03%,0.00%,0.23%,0.02%,,District 26,AK,1,,02,726,02726,02726,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 27,AK,"9,531",,,,520,5.46%,,50.82%,45.37%,0.25%,3.56%,"4,844","4,324",24,228,,21,6,,,25,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.39%,0.00%,0.22%,0.06%,,District 27,AK,1,,02,727,02727,02727,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 28,AK,"12,831",,,,102,0.79%,,48.82%,48.02%,0.12%,3.03%,"6,264","6,162",16,219,,16,3,,,82,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,0,,,1.71%,0.00%,0.12%,0.02%,,District 28,AK,1,,02,728,02728,02728,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 29,AK,"10,784",,,,"4,479",41.53%,,27.68%,69.21%,0.09%,3.01%,"2,985","7,464",10,190,,26,3,,,37,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,0,,,1.76%,0.00%,0.24%,0.03%,,District 29,AK,1,,02,729,02729,02729,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 30,AK,"10,226",,,,"4,542",44.42%,,25.80%,70.21%,0.17%,3.82%,"2,638","7,180",17,270,,26,3,,,50,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.64%,0.00%,0.25%,0.03%,,District 30,AK,1,,02,730,02730,02730,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 31,AK,"12,481",,,,"1,934",15.50%,,40.36%,55.85%,0.14%,3.65%,"5,037","6,971",18,250,,27,7,,,71,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.00%,0.00%,0.22%,0.06%,,District 31,AK,1,,02,731,02731,02731,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 32,AK,"8,361",,,,934,11.17%,,41.93%,53.10%,0.25%,4.71%,"3,506","4,440",21,238,,21,4,,,26,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.85%,0.00%,0.25%,0.05%,,District 32,AK,1,,02,732,02732,02732,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 33,AK,"11,016",,,,"4,476",40.63%,,68.40%,27.77%,0.23%,3.60%,"7,535","3,059",25,197,,27,9,,,61,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,0,,,1.79%,0.00%,0.25%,0.08%,,District 33,AK,1,,02,733,02733,02733,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 34,AK,"10,794",,,,"1,220",11.30%,,53.39%,42.09%,0.31%,4.21%,"5,763","4,543",34,279,,36,6,,,65,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.58%,0.00%,0.33%,0.06%,,District 34,AK,1,,02,734,02734,02734,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 35,AK,"10,149",,,,242,2.38%,,49.37%,46.99%,0.16%,3.48%,"5,011","4,769",16,170,,35,6,,,47,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,0,,,1.68%,0.00%,0.34%,0.06%,,District 35,AK,1,,02,735,02735,02735,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 36,AK,"9,331",,,,"1,318",14.12%,,40.68%,54.81%,0.21%,4.30%,"3,796","5,114",20,245,,30,8,,,39,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.63%,0.00%,0.32%,0.09%,,District 36,AK,1,,02,736,02736,02736,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 37,AK,"5,168",,,,202,3.91%,,49.54%,45.63%,0.33%,4.51%,"2,560","2,358",17,86,,51,14,,,26,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,0,,,1.66%,0.00%,0.99%,0.27%,,District 37,AK,1,,02,737,02737,02737,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 38,AK,"5,336",,,,"1,465",27.46%,,60.01%,32.55%,1.14%,6.30%,"3,202","1,737",61,105,,52,30,,,37,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,0,,,1.97%,0.00%,0.97%,0.56%,,District 38,AK,1,,02,738,02738,02738,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 39,AK,"5,930",,,,"1,641",27.67%,,60.37%,32.70%,0.76%,6.17%,"3,580","1,939",45,123,,80,20,,,39,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.07%,0.00%,1.35%,0.34%,,District 39,AK,1,,02,739,02739,02739,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District 40,AK,"4,628",,,,324,7.00%,,50.09%,43.09%,0.84%,5.99%,"2,318","1,994",39,94,,47,25,,,25,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,0,,,2.03%,0.00%,1.02%,0.54%,,District 40,AK,1,,02,740,02740,02740,Election District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overseas,AK,438,,,0,314,71.69%,,85.16%,13.47%,0.00%,1.37%,373,59,0,1,,0,0,,,5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.23%,0.00%,0.00%,0.00%,,Overseas,AK,1,,02,799,02799,02799,Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,T,"359,530",,,,"36,173",10.06%,,42.77%,52.83%,0.23%,4.17%,"153,778","189,951",825,"8,897",,"1,127",318,,,"1,961",,,,,,,"2,673",,,,,,,,,,,,,,,,,,,,,,,,0,,,2.47%,0.00%,0.31%,0.09%,,Alaska,T,,,02,,02,02,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Clyde Cummings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apache,AZ,"35,268",,,0,"11,851",33.60%,,66.05%,32.44%,0.00%,1.51%,"23,293","11,442",,437,11,,,,0,85,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,0,1.24%,0.03%,0.00%,0.00%,,Apache,AZ,1,,04,001,04001,04001,County,166,342,,,,https://www.apachecountyaz.gov/Elections,,,,,0,"35,268",96,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cochise,AZ,"60,665",,,0,"11,825",19.49%,,39.12%,58.61%,0.00%,2.27%,"23,732","35,557",,"1,153",25,,,,0,192,,,,,,,,,,,,1,,,,,,,,,,,,5,,,,,,,,0,0,1.90%,0.04%,0.00%,0.00%,,Cochise,AZ,2,,04,003,04003,04003,County,275,24,,,,https://www.cochise.az.gov/elections/home,,,,,-1,"60,664",223,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coconino,AZ,"73,632",,,0,"17,646",23.97%,,60.70%,36.74%,0.00%,2.56%,"44,698","27,052",,"1,522",58,,,,8,290,,,,,,,,,,,,0,,,,,,,,,,,,4,,,,,,,,0,0,2.07%,0.08%,0.00%,0.00%,,Coconino,AZ,1,,04,005,04005,04005,County,,,,,,https://www.coconino.az.gov/195/Elections,,,,,0,"73,632",360,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gila,AZ,"27,735",,,0,"9,434",34.01%,,32.24%,66.26%,0.00%,1.50%,"8,943","18,377",,342,16,,,,0,57,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,0,1.23%,0.06%,0.00%,0.00%,,Gila,AZ,,,04,007,04007,04007,County,,,,,,https://www.gilacountyaz.gov/government/elections/index.php,,,,,0,"27,735",73,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham,AZ,"15,029",,,0,"6,715",44.68%,,26.84%,71.52%,0.00%,1.64%,"4,034","10,749",,212,1,,,,0,33,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,0,1.41%,0.01%,0.00%,0.00%,,Graham,AZ,1,,04,009,04009,04009,County,,,,,,https://www.graham.az.gov/476/Elections,,,,,0,"15,029",34,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenlee,AZ,"3,696",,,0,"1,251",33.85%,,31.98%,65.83%,0.00%,2.19%,"1,182","2,433",,70,1,,,,0,8,,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,,0,0,1.89%,0.03%,0.00%,0.00%,,Greenlee,AZ,1,,04,011,04011,04011,County,,,,,,https://www.co.greenlee.az.us/departments/elections/,,,,,0,"3,696",11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Paz,AZ,"7,472",,,0,"2,893",38.72%,,29.93%,68.64%,0.00%,1.43%,"2,236","5,129",,93,2,,,,0,12,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,0,0,1.24%,0.03%,0.00%,0.00%,,La Paz,AZ,4,,04,012,04012,04012,County,,,,,,http://www.co.la-paz.az.us/162/Elections,,,,,0,"7,472",14,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maricopa,AZ,"2,076,086",,,0,"45,109",2.17%,,50.13%,47.96%,0.00%,1.91%,"1,040,774","995,665",,"31,705","1,013",,,,139,"6,629",,,,,,,,,,,,10,,,,,,,,,,,,151,,,,,,,,0,0,1.53%,0.05%,0.00%,0.00%,,Maricopa,AZ,,,04,013,04013,04013,County,"8,475","5,002",,,,https://recorder.maricopa.gov/electionresults/,,,,,0,"2,076,086","7,942",,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohave,AZ,"104,883",,,0,"53,704",51.20%,,23.67%,74.88%,0.00%,1.45%,"24,831","78,535",,"1,302",32,,,,1,180,,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,,0,0,1.24%,0.03%,0.00%,0.00%,,Mohave,AZ,,,04,015,04015,04015,County,,,,,,https://www.mohavecounty.us/ContentPage.aspx?id=118&cid=141,,,,,0,"104,883",215,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navajo,AZ,"51,930",,,0,"4,274",8.23%,,45.03%,53.26%,0.00%,1.71%,"23,383","27,657",,727,11,,,,2,149,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,0,0,1.40%,0.02%,0.00%,0.00%,,Navajo,AZ,1,,04,017,04017,04017,County,,,,,,https://www.navajocountyaz.gov/Departments/Elections/Election-Results,,,,,0,"51,930",163,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pima,AZ,"522,174",,,0,"97,223",18.62%,,58.41%,39.79%,0.00%,1.81%,"304,981","207,758",,"7,658",245,,,,36,"1,448",,,,,,,,,,,,1,,,,,,,,,,,,47,,,,,,,,0,0,1.47%,0.05%,0.00%,0.00%,,Pima,AZ,,,04,019,04019,04019,County,,,,,,https://webcms.pima.gov/government/elections_department/,,,,,0,"522,174","1,777",Unoff,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinal,AZ,"185,525",,,0,"31,971",17.23%,,40.48%,57.72%,0.00%,1.80%,"75,106","107,077",,"2,791",58,,,,2,489,,,,,,,,,,,,0,,,,,,,,,,,,2,,,,,,,,0,0,1.50%,0.03%,0.00%,0.00%,,Pinal,AZ,,,04,021,04021,04021,County,,,,,,https://www.pinalcountyaz.gov/elections/Pages/ElectionResults.aspx,,,,,0,"185,525",551,Unoff,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,AZ,"19,581",,,0,"6,944",35.46%,,67.10%,31.63%,0.00%,1.27%,"13,138","6,194",,224,4,,,,0,20,,,,,,,,,,,,0,,,,,,,,,,,,1,,,,,,,,0,0,1.14%,0.02%,0.00%,0.00%,,Santa Cruz,AZ,3,,04,023,04023,04023,County,,,,,,https://www.santacruzcountyaz.gov/173/Elections,,,,,0,"19,581",25,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yavapai,AZ,"143,640",,,0,"41,925",29.19%,,34.53%,63.72%,0.00%,1.75%,"49,602","91,527",,"2,092",45,,,,1,360,,,,,,,,,,,,0,,,,,,,,,,,,13,,,,,,,,0,0,1.46%,0.03%,0.00%,0.00%,,Yavapai,AZ,,,04,025,04025,04025,County,,,,,,https://www.yavapai.us/electionsvr/,,,,,0,"143,640",419,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuma,AZ,"70,072",,,0,"4,324",6.17%,,45.97%,52.14%,0.00%,1.90%,"32,210","36,534",,"1,137",35,,,,1,146,,,,,,,,,,,,0,,,,,,,,,,,,9,,,,,,,,0,0,1.62%,0.05%,0.00%,0.00%,,Yuma,AZ,,,04,027,04027,04027,County,,,,,,https://www.yumacountyaz.gov/government/election-services,,,,,0,"70,072",191,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,T,"3,397,388",,,0,"10,457",0.31%,,49.22%,48.91%,0.00%,1.87%,"1,672,143","1,661,686",,"51,465","1,557",,,,190,"10,098",,,,,,,,,,,,13,,,,,,,,,,,,236,,,,,,,,0,0,1.51%,0.05%,0.00%,0.00%,,Arizona,T,,,04,,04,04,State,"8,916","5,368",,,,,,,,,-1,"3,397,387","12,094",,,36,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,AR,"6,292",,,,"2,486",39.51%,,28.89%,68.40%,0.06%,2.64%,"1,818","4,304",4,46,16,9,7,19,23,,,4,7,22,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,0.73%,0.25%,0.14%,0.11%,,Arkansas,AR,1,,05,001,05001,05001,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley,AR,"7,926",,,,"3,423",43.19%,,26.81%,70.00%,0.06%,3.13%,"2,125","5,548",5,25,9,30,9,43,27,,,17,10,44,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,0.32%,0.11%,0.38%,0.11%,,Ashley,AR,4,,05,003,05003,05003,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
